Well,Gene
D03,05_ANAPC1
C06,08_ANGPTL2
C02,15_CAV1
C09,20_DGKG
F03,40_PDE7B
E09,42_PLEKHA7
G10,44_PTPRJ
D09,46_RUNX2
C04,48_TES
F06,49_TIMP3
B03,52_TRIOBP
F11,57_Human_0001
E04,58_Human_0003
D11,59_Human_0005
E10,60_Human_0007
D02,61_Human_0009
F05,63_FOXC1
B06,05_ANAPC1
G04,08_ANGPTL2
D06,15_CAV1
F07,20_DGKG
B04,40_PDE7B
F04,42_PLEKHA7
F02,44_PTPRJ
B09,46_RUNX2
F09,48_TES
E05,49_TIMP3
D05,52_TRIOBP
D07,57_Human_0001
C11,58_Human_0003
C05,59_Human_0005
D04,60_Human_0007
G03,61_Human_0009
B08,63_FOXC1
B10,05_ANAPC1
C03,08_ANGPTL2
C07,15_CAV1
C08,20_DGKG
C10,40_PDE7B
D08,42_PLEKHA7
D10,44_PTPRJ
E02,46_RUNX2
E03,48_TES
E06,49_TIMP3
E07,52_TRIOBP
E08,57_Human_0001
E11,58_Human_0003
F08,59_Human_0005
G07,60_Human_0007
F10,61_Human_0009
G08,63_FOXC1
